"census_tract","Surge_threshold","Rain_threshold","alpha_d","alpha_a","alpha_p","alpha_r","mew_a","mew_p","U_rate","POT_S_max","POT_R_max"
"x_init89",36087013402,1.71471991510714,0.0771303361361026,11.2018969337305,4.74698132035055,9.99948757521827,0.0164170686571892,0.0596152473850722,0.001,0.6503189594485,0.267801745616841,0.0336198017439057
"x_init90",36111950100,2.45484959398666,0.105891365600042,7.84832814417929,24.7170774039017,5.59837965328669,0.657981090174407,0.0778347044247212,1.43055718953337,2.62926727839214,3.29595539810523,0.134308821056374
"x_init91",36111950200,1.7117756370105,0.15,16.1294262852936,2.01257849695174,10,0.129971022075045,0.0894297630034742,0.001,0.16406937921142,2.04412171740062,0.15
"x_init92",36111950300,1.42873162349439,0.142626607373977,23.2833606423083,0.851901014734973,0.807100910124023,0.0411514581721695,0.138266188587796,0.804387128117084,0.156084486686598,3.5,0.00465844590959555
"x_init93",36111951400,3.25268166194221,0.120517699248442,24.9978727701235,14.288602505306,4.78493095312719,0.47940373881851,0.301762440842104,0.0698318182666783,0.231809455122991,2.18045842750742,0.103198925334217
"x_init94",36111951700,1.99257797305633,0.15,14.5312940591778,0.908152010664648,8.21374681455439,0.749532966448068,0.0810773288902557,0.001,0.454591335723793,0.107088694261629,0.15
"x_init95",36111952500,1.911612785471,0.15,21.4899986545894,18.2511127021704,4.83900837895488,0.0691778692368112,0.10484330048603,0.00171786717767311,0.311902629851602,0.001,0.15
"x_init96",36111953700,1.44637372207925,0.15,17.9958796944608,25,0.001,0.00349218040547599,0.0892760803209657,0.00212073620329342,0.12292788967312,3.5,0.15
"x_init97",36111953800,1.75646716834037,0.120997417578471,15.5351398333043,3.47513921260261,10,0.390198014771176,0.117041453128398,0.001,0.524265387953841,1.85915315549684,0.0766252652498969
"x_init98",36111954900,1.89523770912268,0.121369907703589,8.78689707202104,25,1.64605761339045,0.961785957797738,0.0514559374378462,0.0516677268182318,1.45265013705584,0.021458480387772,0.001
"x_init99",36119011300,2.04634383370578,0.0796068908449725,10.6376761230305,0.001,2.94046846733702,0.0400553423712009,0.051061259042894,0.001,0.720425606703576,0.0147954413355505,0.149179284220479
"x_init100",36119011400,2.99306960989055,0.0913534380878833,25,16.6354201545523,8.93279662238794,0.989003289965584,0.0771960157716617,1.4739861404592,2.66348889243683,1.08404033722144,0.107845211490288
"x_init101",36119011500,1.72731861751979,0.118107871472469,18.1094985406671,12.3802721893199,2.05040167940177,0.001,0.104052382228349,0.0120478876792939,0.0879802783513192,0.24948062937991,0.0749215942035286
"x_init102",36119011700,2.00977084021699,0.15,15.4051165225947,25,0.0333461437142149,0.00106161132722404,0.0769403178502354,0.0535337970138961,0.0486665015182179,0.977703051947953,0.149994535638748
"x_init103",36119013304,1.91337117950225,0.0716301280812944,21.0811721895354,25,0.949552295726208,0.394324760359792,0.117166345612911,0.00433497728501226,0.344489772190302,0.00141839705565527,0.124389911611089
"x_init104",36119013600,0.897687207280546,0.134244414768094,16.3228235723549,16.4279590228841,0.500957372117832,0.001,0.101751209498415,0.0288682891542433,0.01,1.6848235875381,0.107726993957744
"x_init105",36119013800,1.80176451123103,0.15,14.7619380926365,25,9.10678132374035,0.333591247067577,0.073067924178708,0.001,0.525977257853837,0.00231730292173541,0.15
"x_init106",36119013900,3.18584481821004,0.0825591160845279,10.6806716895554,19.54047699564,3.92185521514096,0.0247862578496015,0.0734568954163911,1.1061576672837,2.51474879725891,1.21272639312662,0.0863341644871343
"x_init107",36119014000,2.7095347885581,0.0742104379064884,8.86548857467156,10.3569607314207,6.76846414494189,0.02568430431057,0.105314977895322,0.722855521972245,2.48372323278612,3.28964249767282,0.0458935933754951
"x_init108",36119014100,1.98132352300487,0.0966151031843616,9.54058648452475,21.8764042038618,3.24161200242406,0.353805850546987,0.123981668703656,1.01666017645678,1.39946674397394,1.339713438148,0.147474544690153
"x_init109",36119014200,1.92406618540592,0.137595670711965,20.9962060444569,3.74361638296234,6.78064599453931,0.043908113579804,0.135246320655948,1.36327831960743,0.248049984244358,0.775121066544719,0.111879628393429
"x_init110",36119014604,1.76266235540606,0.15,14.2668874744025,0.921713581011263,2.35915354289906,0.632774524099627,0.0917729263838089,0.0138813724672326,0.537203908279836,2.32903728299765,0.15
"x_init111",36119014701,1.91116196571521,0.15,18.53594002856,0.001,5.70935698160781,0.0481439794298252,0.074561560859436,0.00292567245525959,0.307399429004901,0.001,0.149976672009164
"x_init112",34003013001,2.10148443910935,0.15,14.9483343648332,3.77392108394204,9.85665025420118,0.174135535793824,0.06149841027294,0.0161532378519565,0.01,2.99964927539807,0.15
"x_init113",34003013002,2.74883916129205,0.148550598631502,9.39149173263456,11.6934401621257,7.63563248179597,0.890748040000842,0.0481749144258871,0.0580597835995889,1.04144741498368,0.426339229744332,0.0943922086517525
"x_init114",34003019102,3.41585727902019,0.0771593282333276,15.9401367534551,16.8620787632682,2.11512388939628,0.241435602763156,0.199169371249953,0.714153717297397,2.55857922411868,0.327422449615503,0.0511334741560144
"x_init115",34017005802,2.18466227817213,0.149995773857426,13.6567714643173,2.25591925023284,9.998072414174,0.266689852443796,0.0375059064013966,0.125348701827763,0.0110198755305755,1.47203073221672,0.15
"x_init116",34017010300,2.05315058729896,0.100055947698025,22.7673119869496,23.0024472938186,10,0.00103536487155743,0.223062577004185,0.262249340100185,0.308528658495264,0.117641189685931,0.0135902657138431
"x_init117",34017010400,1.62451379115979,0.0768116814134205,18.0136752642023,25,0.726167030696869,0.0741597006858,0.122540071064124,0.001,0.426647694656705,3.42350204742459,0.0190583553403635
"x_init118",34017015001,3.49370586965681,0.082534643427428,13.6573257552736,25,2.17192631375295,0.00641314590248073,0.0816846882297633,0.00700083800149117,0.5714870189863,1.04801817201276,0.115775313567642
"x_init119",34017015201,2.17884433641411,0.15,11.5721622056924,24.9973727520213,9.18571215364246,0.001,0.0457629357719326,0.112571493995244,0.01,1.35802461440251,0.15
"x_init120",34017015801,2.15892398055315,0.121408346194198,14.7256905585609,1.08847602831903,4.7769916204699,0.178816741204488,0.101923342039113,0.00646788631619927,0.501729724931809,0.00130770883904336,0.145299224248216
"x_init121",34017017900,2.53174293345656,0.149427241842768,20.6286899642173,6.59160657768665,2.8863742063209,0.366428470123905,0.138137191697556,0.0275119074320552,0.231261327660212,1.43073888609999,0.149981928498565
"x_init122",34017018302,2.76086450305194,0.15,12.6443031388469,0.001,0.0103081696810828,0.132279538120155,0.0595150177573992,0.0601597515886475,0.178538912568396,3.21453496315165,0.15
"x_init123",34023004500,1.15928082489715,0.139572274233204,25,0.130347960824789,0.001,0.0130674515429399,0.197268778111607,0.0371024679467707,0.01,0.495441345409835,0.00393502161606913
"x_init124",34023004600,2.17284419449869,0.15,25,0.896028388585361,0.277940366782292,0.0232827265406858,0.149981380175994,0.139189717667296,0.01,1.24860593944313,0.15
"x_init125",34039030600,2.14203961637179,0.0676552635314904,9.06879066853179,12.2893339109793,2.31347255334145,0.61709351753037,0.0731763469605263,0.139074290844762,2.52185478925691,2.02753688920934,0.102065261724665
